response,feedback_type,contrast_right,contrast_left,response_time,mouse,session,contrast_diff,contrast_diff_abs,condition
1.0,1.0,0.0,1.0,0.7017593306206322,Cori,1,-1.0,1.0,go
-1.0,1.0,0.5,0.0,1.5341051655198044,Cori,1,0.5,0.5,go
-1.0,-1.0,0.25,0.25,1.9847882245683195,Cori,1,0.0,0.0,go
0.0,1.0,0.0,0.0,2.4334618493074913,Cori,1,0.0,0.0,no_go
-1.0,1.0,1.0,0.0,1.3675019523939227,Cori,1,1.0,1.0,go
0.0,-1.0,0.5,0.0,2.149223577483383,Cori,1,0.5,0.5,go
1.0,1.0,0.0,1.0,0.901549788994771,Cori,1,-1.0,1.0,go
-1.0,1.0,0.25,0.0,1.033940110325318,Cori,1,0.25,0.25,go
1.0,1.0,0.25,1.0,0.7508223462452861,Cori,1,-0.75,0.75,go
-1.0,1.0,1.0,0.5,1.3844031793472027,Cori,1,0.5,0.5,go
-1.0,1.0,1.0,0.0,1.3185306083125283,Cori,1,1.0,1.0,go
1.0,1.0,0.0,1.0,0.6676341578194638,Cori,1,-1.0,1.0,go
-1.0,-1.0,1.0,1.0,0.8173073852112793,Cori,1,0.0,0.0,go
-1.0,1.0,0.25,0.0,1.0177767481715705,Cori,1,0.25,0.25,go
-1.0,1.0,0.5,0.0,0.9518676709923852,Cori,1,0.5,0.5,go
0.0,1.0,0.0,0.0,2.014819955393648,Cori,1,0.0,0.0,no_go
0.0,-1.0,1.0,0.25,2.162959167565589,Cori,1,0.75,0.75,go
1.0,-1.0,1.0,0.25,0.9517850012846907,Cori,1,0.75,0.75,go
-1.0,1.0,1.0,0.25,2.318313622761707,Cori,1,0.75,0.75,go
-1.0,1.0,1.0,0.0,0.7018601202657919,Cori,1,1.0,1.0,go
1.0,1.0,0.25,1.0,1.2184690697929454,Cori,1,-0.75,0.75,go
0.0,-1.0,0.0,0.5,2.5693347790928556,Cori,1,-0.5,0.5,go
0.0,1.0,0.0,0.0,2.3654423834327645,Cori,1,0.0,0.0,no_go
1.0,1.0,0.0,0.5,0.6521547717653675,Cori,1,-0.5,0.5,go
-1.0,1.0,0.5,0.0,1.3347153631212905,Cori,1,0.5,0.5,go
1.0,1.0,0.0,0.5,1.1682737539159689,Cori,1,-0.5,0.5,go
1.0,1.0,0.0,1.0,1.0342964275292843,Cori,1,-1.0,1.0,go
1.0,-1.0,0.5,0.25,1.117749197448461,Cori,1,0.25,0.25,go
1.0,1.0,0.0,0.5,0.9840203907874638,Cori,1,-0.5,0.5,go
0.0,-1.0,0.0,0.5,2.602629848020115,Cori,1,-0.5,0.5,go
-1.0,1.0,0.5,0.0,1.335111915725065,Cori,1,0.5,0.5,go
1.0,1.0,0.0,1.0,1.018336067881819,Cori,1,-1.0,1.0,go
-1.0,1.0,1.0,0.0,1.618762513488491,Cori,1,1.0,1.0,go
0.0,-1.0,1.0,0.25,2.0365798484006064,Cori,1,0.75,0.75,go
1.0,-1.0,1.0,0.25,1.035492792616651,Cori,1,0.75,0.75,go
0.0,-1.0,1.0,0.25,2.0826164596644503,Cori,1,0.75,0.75,go
-1.0,1.0,1.0,0.25,1.4685339881750679,Cori,1,0.75,0.75,go
1.0,1.0,0.0,1.0,1.101692641634827,Cori,1,-1.0,1.0,go
-1.0,1.0,1.0,0.0,0.885648108729356,Cori,1,1.0,1.0,go
0.0,-1.0,1.0,0.0,2.5752562116560966,Cori,1,1.0,1.0,go
